plate,row,col,species,Temp,Nutr,area0,area3,area5,area7,area10,area12,rgr1.5,rgr4,rgr6,rgr8.5,rgr11,maxRGR,avgRGR,turions3,turions5,turions7,turions10,turions12,turionsTOT,outlier
Q,A,2,SP,30,high,45.464,133.538,216.7,294.74,388.805,420.204,0.359155093,0.242063914,0.153789852,0.092328107,0.038831188,0.359155093,0.17723363,0,0,0,0,0,0,0
R,B,1,SP,30,high,25.42,72.288,135.985,242.291,366.761,458.862,0.348373958,0.315943223,0.288797449,0.138190309,0.112019551,0.348373958,0.240664898,0,0,0,0,0,0,0
M,A,3,SP,30,low,29.01,57.654,68.393,68.554,72.723,92.274,0.228939677,0.085405426,0.001175638,0.019678649,0.119052354,0.228939677,0.090850349,0,0,0,0,0,0,0
N,B,2,SP,30,low,22.199,54.282,75.098,77.279,98.913,115.016,0.298048479,0.162300623,0.014314161,0.082272809,0.075415287,0.298048479,0.126470272,0,0,0,0,,0,0
N,B,4,SP,30,low,41.448,54.943,72.51,75.832,81.504,97.859,0.093952218,0.1387141,0.022397942,0.024043911,0.091437784,0.1387141,0.074109191,0,0,0,0,0,0,0
O,C,1,SP,30,low,35.037,55.531,62.741,72.944,79.711,80.967,0.153512259,0.061036859,0.075338441,0.029571857,0.007817035,0.153512259,0.06545529,0,0,0,0,0,0,0
P,A,3,SP,30,low,33.452,59.55,62.039,66.702,71.586,82.629,0.192234907,0.020473462,0.036235859,0.023554862,0.071730592,0.192234907,0.068845936,0,0,0,0,0,0,0
Q,B,2,SP,30,low,20.193,37.277,47.978,55.221,65.411,76.669,0.204346835,0.126183029,0.070300372,0.056449041,0.079403507,0.204346835,0.107336557,0,0,0,0,0,0,0
Q,B,4,SP,30,low,28.685,59.636,77.932,78.95,90.843,107.946,0.243961694,0.133788617,0.006489045,0.046772667,0.08624918,0.243961694,0.10345224,0,0,0,0,0,0,0
R,C,1,SP,30,low,26.034,46.035,55.986,63.429,70.189,77.244,0.189999534,0.097849841,0.062409755,0.033756811,0.04788882,0.189999534,0.086380952,0,0,0,0,0,0,0
M,B,3,SP,30,med,27.877,68.802,120.028,172.413,206.283,296.46,0.301143613,0.278246117,0.181083856,0.059785417,0.181331645,0.301143613,0.20031813,0,0,0,0,0,0,0
N,C,2,SP,30,med,43.528,94.421,146.748,193.243,253.682,323.669,0.258119699,0.220476662,0.137615817,0.090711017,0.121819937,0.258119699,0.165748626,0,0,0,0,0,0,0
O,A,1,SP,30,med,20.53,61.702,96.608,163.729,251.298,322.452,0.366809705,0.224172604,0.263775534,0.142808955,0.124657401,0.366809705,0.22444484,0,0,0,0,0,0,0
O,A,4,SP,30,med,40.001,99.838,146.804,196.154,285.763,347.828,0.304881473,0.192774746,0.144900851,0.12542091,0.098272654,0.304881473,0.173250127,0,0,0,0,0,0,0
P,B,3,SP,30,med,46.992,82.861,120.063,149.761,182.029,237.341,0.189062377,0.18542605,0.110512043,0.065041775,0.132665955,0.189062377,0.13654164,0,0,0,0,0,0,0
Q,C,2,SP,30,med,29.409,70.687,104.81,141.775,191.777,238.728,0.29232031,0.196943753,0.151046053,0.100697315,0.109495795,0.29232031,0.170100645,0,0,0,0,0,0,0
R,A,1,SP,30,med,26.939,64.721,111.124,175.317,247.928,297.481,0.292170224,0.270280486,0.227974534,0.115514206,0.091105988,0.292170224,0.199409088,0,0,0,0,0,0,0
R,A,4,SP,30,med,14.443,37.735,71.561,137.493,229.072,292.582,0.320126059,0.319981094,0.326511387,0.170154453,0.122354302,0.326511387,0.251825459,0,0,0,0,0,0,0
